Condition,Conflict,Correct,Duration,Flanker,Position,Stimuli,Trial,prob
1,1,3,1.25,0,3,003,100,0.2
0,0,0,2.953373036,0,0,.,99,0
1,1,2,1.25,0,2,020,98,0.2
0,0,0,2.36768119844,0,0,.,97,0
1,1,3,1.25,0,3,003,96,0.5
0,0,0,2.10915357159,0,0,.,95,0
2,3,1,1.25,3,2,313,94,0.5
0,0,0,2.50806985981,0,0,.,93,0
1,2,1,1.25,0,1,100,92,0.5
0,0,0,2.47905582139,0,0,.,91,0
1,1,2,1.25,0,2,020,90,0.5
0,0,0,2.12610117482,0,0,.,89,0
2,0,2,1.25,3,1,233,88,0.5
0,0,0,2.45615954046,0,0,.,87,0
2,3,1,1.25,3,3,331,86,0.5
0,0,0,2.97612027612,0,0,.,85,0
1,1,1,1.25,0,1,100,84,0.5
0,0,0,2.14100041691,0,0,.,83,0
2,0,2,1.25,1,3,112,82,0.5
0,0,0,2.57496925518,0,0,.,81,0
2,3,1,1.25,3,3,331,80,0.5
0,0,0,2.35353445765,0,0,.,79,0
1,1,2,1.25,0,2,020,78,0.5
0,0,0,2.25259768911,0,0,.,77,0
2,0,2,1.25,3,3,332,76,0.5
0,0,0,2.82235371604,0,0,.,75,0
2,3,3,1.25,1,2,131,74,0.5
0,0,0,2.61370782482,0,0,.,73,0
1,1,1,1.25,0,1,100,72,0.5
0,0,0,2.28600189839,0,0,.,71,0
2,3,3,1.25,2,2,232,70,0.5
0,0,0,2.67984016457,0,0,.,69,0
1,2,3,1.25,0,3,003,68,0.5
0,0,0,2.23543041543,0,0,.,67,0
1,1,2,1.25,0,2,020,66,0.5
0,0,0,2.79378972395,0,0,.,65,0
2,3,1,1.25,2,2,221,64,0.5
0,0,0,2.35299264253,0,0,.,63,0
1,1,2,1.25,0,2,020,62,0.5
0,0,0,2.97922799024,0,0,.,61,0
2,0,3,1.25,1,1,311,60,0.5
0,0,0,2.36930233767,0,0,.,59,0
2,3,2,1.25,1,3,112,58,0.5
0,0,0,2.93326594047,0,0,.,57,0
1,1,1,1.25,0,1,100,56,0.5
0,0,0,2.36099577074,0,0,.,55,0
2,3,3,1.25,2,2,232,54,0.5
0,0,0,2.05588303484,0,0,.,53,0
1,1,2,1.25,0,2,020,52,0.5
0,0,0,2.71449628593,0,0,.,51,0
2,3,1,1.25,2,2,212,50,0.5
0,0,0,2.23389224269,0,0,.,49,0
1,2,3,1.25,0,3,003,48,0.5
0,0,0,2.36295645108,0,0,.,47,0
1,1,1,1.25,0,1,100,46,0.5
0,0,0,2.24947938426,0,0,.,45,0
2,3,1,1.25,3,2,313,44,0.5
0,0,0,2.15951477092,0,0,.,43,0
1,2,3,1.25,0,3,003,42,0.5
0,0,0,2.49947592191,0,0,.,41,0
1,1,3,1.25,0,3,003,40,0.5
0,0,0,2.39816482875,0,0,.,39,0
2,0,2,1.25,3,3,332,38,0.5
0,0,0,2.47071282727,0,0,.,37,0
2,3,2,1.25,1,1,211,36,0.5
0,0,0,2.74541608727,0,0,.,35,0
1,1,1,1.25,0,1,100,34,0.5
0,0,0,2.80804841066,0,0,.,33,0
2,3,3,1.25,2,1,322,32,0.5
0,0,0,2.38472654847,0,0,.,31,0
1,1,3,1.25,0,3,003,30,0.5
0,0,0,2.83160645992,0,0,.,29,0
2,0,1,1.25,2,2,221,28,0.5
0,0,0,2.64993238508,0,0,.,27,0
2,3,2,1.25,1,1,211,26,0.5
0,0,0,2.80574507506,0,0,.,25,0
1,2,2,1.25,0,2,020,24,0.5
0,0,0,2.88350231078,0,0,.,23,0
1,1,1,1.25,0,1,100,22,0.5
0,0,0,2.66533982266,0,0,.,21,0
2,0,3,1.25,1,1,311,20,0.5
0,0,0,2.80654639742,0,0,.,19,0
2,3,2,1.25,3,1,233,18,0.5
0,0,0,2.72609104293,0,0,.,17,0
1,2,3,1.25,0,3,003,16,0.5
0,0,0,2.11523982794,0,0,.,15,0
1,1,2,1.25,0,2,020,14,0.5
0,0,0,2.81184178244,0,0,.,13,0
2,3,3,1.25,2,1,322,12,0.5
0,0,0,2.70749600343,0,0,.,11,0
1,2,3,1.25,0,3,003,10,0.5
0,0,0,2.78214235317,0,0,.,9,0
1,1,2,1.25,0,2,020,8,0.5
0,0,0,2.83283171522,0,0,.,7,0
2,3,1,1.25,2,2,212,6,0.5
0,0,0,2.51674480786,0,0,.,5,0
1,1,1,1.25,0,1,100,4,0.5
0,0,0,2.78074840953,0,0,.,3,0
2,3,3,1.25,1,2,131,2,0.5
0,0,0,2.08322390303,0,0,.,1,0
