Condition,Conflict,Correct,Duration,Flanker,Position,Stimuli,Trial,prob
2,3,1,1.25,2,2,221,396,0.75
0,0,0,2.96410614434,0,0,.,395,0
2,0,1,1.25,2,2,221,394,0.75
0,0,0,2.06525200263,0,0,.,393,0
1,1,1,1.25,0,1,100,392,0.75
0,0,0,2.19902243371,0,0,.,391,0
2,3,3,1.25,1,1,311,390,0.75
0,0,0,2.51571873726,0,0,.,389,0
2,3,1,1.25,3,3,331,388,0.75
0,0,0,2.92603560163,0,0,.,387,0
2,3,2,1.25,1,3,112,386,0.75
0,0,0,2.30372813154,0,0,.,385,0
2,3,3,1.25,2,1,322,384,0.5
0,0,0,2.52113344325,0,0,.,383,0
1,1,1,1.25,0,1,100,382,0.5
0,0,0,2.75592377107,0,0,.,381,0
2,0,2,1.25,3,3,332,380,0.5
0,0,0,2.70209431649,0,0,.,379,0
2,3,1,1.25,3,3,331,378,0.5
0,0,0,2.40006062185,0,0,.,377,0
1,2,3,1.25,0,3,003,376,0.5
0,0,0,2.08540056747,0,0,.,375,0
1,1,2,1.25,0,2,020,374,0.5
0,0,0,2.85001248524,0,0,.,373,0
2,0,1,1.25,3,3,331,372,0.5
0,0,0,2.44424149028,0,0,.,371,0
2,3,3,1.25,1,1,311,370,0.5
0,0,0,2.39005649095,0,0,.,369,0
1,2,1,1.25,0,1,100,368,0.5
0,0,0,2.89090499497,0,0,.,367,0
1,1,1,1.25,0,1,100,366,0.5
0,0,0,2.97896400623,0,0,.,365,0
2,0,2,1.25,3,3,332,364,0.5
0,0,0,2.54135693224,0,0,.,363,0
2,3,2,1.25,3,1,233,362,0.5
0,0,0,2.90728692619,0,0,.,361,0
1,2,1,1.25,0,1,100,360,0.5
0,0,0,2.0735151554,0,0,.,359,0
1,1,1,1.25,0,1,100,358,0.5
0,0,0,2.92983074859,0,0,.,357,0
